AgeGroup,BMI,ConversatiosPerDay,DisciplineScore,HappinessScore,HouseholdExpenseOnPresents,HouseholdExpenseOnSocialGames,HouseholdExpenseParkingTicketsPerYear,NrCousins,PCR_10,PCR_17,PCR_19,PCR_32,PCR_45,PCR_46,PCR_7,PCR_72,PCR_76,PCR_8,PCR_83,PCR_89,PCR_9,PCR_93,PCR_95,SocialActivitiesPerDay,SocialMediaPerDay,StepsPerYear,StudingPerDay,Virus,SpreadLevel,Risk
1,18.47,14,5.754798762,6,1208.704198,486.68,379.22,1,-0.657050184,0.272167696,-0.673078885,0.267412485,0.091302602,-0.308162986,0.283711523,0.85613554,0.770026698,-3.481492056,0.143006778,4.737082656,3.47615017,0.704170059,3.607111543,84.58,122.62,0,3.8,not_detected,medium,medium
5,22.98,14,5.754798762,5,1375.94,563.47,331.55,5,0.954296685,0.272167696,2.101522002,-0.990758312,8.541812184,1.253343336,-0.289933881,0.660017716,0.29179954,2.412883633,0.94320357,-2.066405492,2.38003395,-0.629951934,2.501940314,91.57,160.84,0.000277778,3.3,cold,high,medium
6,19.87,17,5,6,1784.09,68.32,340.67,6,1.023878169,1.065131018,2.831139744,-1.902739205,0.813726965,2.309236263,-0.30006873,0.747640737,2.890890384,2.482214749,0.520655577,1.443121409,2.25129822,-2.943904873,2.316442326,91.23441303,110.64,0.000347222,3.4,cold,medium,low
4.701657459,21.68861899,12.74115456,5,3,226.43,336,769.04,4.701657459,0.318323479,0.006984526,-0.280262307,-0.408873779,1.264981241,0.58304095,0.867576121,-0.004585184,2.890890384,1.145745031,1.257742323,0.336819371,2.261661307,0.906821164,2.205907651,69.11,119.39,0.00025706,7.7,cmv,low,medium
8,19.31,15,4,6,1489.39,264.78,122.57,8,0.957866875,2.618320322,0.38638649,-1.440596622,1.000914957,1.779009899,-0.485253708,4.479646227,-0.79845033,-2.478433699,0.798701956,1.443121409,6.229190269,-1.685441581,5.497722209,62.17,86.19,0.000486111,1.2,flue,medium,low
6,18.12,8,6,4,466.84,228.39,439.88,6,0.136935207,-0.435046216,-2.463788828,0.361020002,-1.530240138,-0.547718589,0.019260175,0.683129227,-2.670911184,-3.524258104,-1.544981114,1.443121409,3.069460857,-1.38434863,3.27538452,58.14,74,0.000347222,4.2,not_detected,low,low
5,17.28,10,5,4,786.69,400.0842112,1177.84,5,0.886659821,-0.046011366,0.263990581,-0.632709188,1.003598198,0.826256276,-1.07050261,0.065495918,0.914938416,3.099567986,0.943623715,-1.246705324,3.049427947,0.056209594,2.205907651,97.62,71.79,0.000277778,11.7,cmv,low,high
3,19.27,16,4,7,1724.11,211.24,898.58,3,1.721508916,1.393862081,2.715003656,0.258352862,-1.349390374,-0.412211852,0.070598773,1.322173042,-2.482055647,4.304520932,-1.372942819,-3.701652012,3.701962024,-1.34980886,3.678482292,91.23441303,147.33,0.000138889,9,cold,medium,low
6,18.98,15,5,7,1537.08,250.77,380.7,6,-0.537864289,0.246827318,-3.373681736,0.226847496,-1.560652032,-0.391873449,-0.01978645,1.458279404,2.890890384,-3.576237729,-1.600547913,1.950102123,-1.679399207,-1.715916151,-2.435406927,60.69,114.61,0.000347222,3.8,cold,medium,low
3,20.8,12,5,4,1049.94,618.36,990.5,3,-0.617958503,0.226870361,-3.100529896,-1.091788624,1.806350312,1.431707296,-0.326647875,1.306780544,1.746119733,-3.704158797,1.706672187,1.801269486,-2.110427086,0.202290416,-2.820423572,97.16,143.87,0.000138889,9.8,cold,medium,medium
4,20.31,19,4,8,2108.58,816.92,714.59,4,0.136935207,0.272167696,1.153147429,0.386733091,-1.581504383,-0.582131853,0.3291891,2.225259168,-2.731607545,-0.214839374,-1.594343777,0.119943637,3.76032428,-1.401430088,3.37081302,117.13,138.68,0.000208333,5.943938462,flue,high,high
2,22.12,16,3,6,1635.16,759.71,711.33,2,-1.162335978,0.141588641,0.754946075,-0.402014773,1.004960574,0.554242412,0.08841335,0.41734492,1.405538962,-4.897678222,0.985633162,5.063493078,2.117836674,0.554384627,2.251931379,112.08,171.77,6.94E-05,7,not_detected,high,medium
4,18.2,14,6,6,1361.41,828,516.66,4,1.215433054,0.935094119,-0.664695649,0.478713125,8.541812184,-0.725580839,1.172812603,1.864169518,2.890890384,2.091663162,-2.039475462,-0.761028919,3.910993558,-1.823326197,3.526690002,118.59,85.78,0.000208333,5.3,covid,medium,high
3,20.16,15,8,6,1505.53,331.6,458.81,3,0.665373209,1.204004448,0.579777621,-1.449273591,-0.194245254,1.694063658,-0.89804863,2.149881941,2.890890384,-0.500471661,-0.4590934,1.170384847,4.986902025,-3.391865545,5.049681714,68.87,216.1068643,0.000138889,4.6,flue,medium,medium
4.701657459,20.82,14,6,6,1378.17,794.45,1151.3,4.701657459,-0.120455911,0.755383106,-0.207058779,2697.352472,-2.481148417,-3.37933749,-0.664855779,1.227569488,0.13277884,-2.067298314,-2.133566336,0.36426174,-0.501266584,2.298544834,-0.910431824,91.23441303,155.69,0.00025706,11.5,cmv,medium,high
5,19.44,12.74115456,5.754798762,5,997.1,381.15,911.42,5,-1.314756551,0.058065087,1.02431177,-0.913776808,1.737937475,1.216279905,-0.181298489,0.334037978,1.968805704,-5.385091604,1.66607232,5.971252348,2.987024975,0.488605068,3.330753023,73.88,124.44,0.000277778,9,not_detected,medium,medium
6,21.58,7,5,3,340.64,333.12,862.62,6,0.909468542,-0.366656128,-2.102453338,0.078535389,-0.653610983,-0.144691674,0.365212116,0.580347629,-1.300737975,-2.956810918,-0.673216542,0.086546669,3.878698019,-0.754065045,4.210886028,68.58,148.23,0.000347222,8.5,flue,medium,medium
4,18.93,5,6,3,74.68,400.0842112,1001.79,4,2.003376752,1.023944948,1.910007714,-0.499499758,1.26334435,0.689811122,-0.01978645,1.06867295,1.779333772,5.726683758,1.240081309,-4.252066951,4.270825524,0.709562342,4.571732546,93.9,84.54,0.000208333,10.1,cold,low,high
4,17.85,7,5.754798762,3,360.39,709.05,892.94,4,-1.060616847,0.684736744,-0.086645728,-0.944986294,0.983253969,1.192991699,-0.532072236,1.655733713,0.209327657,-6.104486887,0.867312085,5.719730318,3.006399346,-0.644264949,2.922392379,106.87,96.39,0.000208333,8.9,not_detected,low,high
4.701657459,17.49,14,5.754798762,6,1391.93,153.99,648.07,4.701657459,1.010869805,0.264324078,-0.53874542,-0.305166106,0.963419109,0.436693404,0.295759208,0.86492924,2.890890384,2.61957428,0.959002621,-0.446603602,4.017825711,0.704054393,4.204195537,50.66,98.76,0.00025706,6.5,cmv,low,low
6,18.87,9,3,4,684.96,617.3,784.62,6,-1.160083635,-1.039432219,-0.280262307,0.662649795,8.541812184,-0.816219854,-0.199802122,-0.621412519,0.426284032,-3.241656469,-0.339747802,4.285925288,14.79317226,0.812409693,2.205907651,97.31,99.41,0.000347222,7.9,cold,low,medium
5,17.93,16,5.754798762,7,1658.07,742.05,0,5,-3.980300371,-0.350541354,0.586134961,1.82579437,-1.60141672,-2.281204583,0.050167912,0.580347629,0.264982174,-14.96604438,-1.362154184,14.18127554,1.895163376,1.666042536,2.110434976,109.32,96.87,0.000277778,5.943938462,not_detected,medium,high
8,17.2,7,3,4,447.41,504.45,217.77,8,0.217947297,-0.913841954,-0.454331474,0.146795776,0.718078471,-0.115970181,0.097650731,-1.088463142,1.921612764,2.282116573,0.780614331,0.239645616,1.812680441,1.329817675,2.473725102,86.43,56.94,0.000486111,2,cmv,low,medium
5,21.68861899,17,4,7,1821.19,392.2,465.7,5,-1.444127103,0.087043807,-0.280262307,-1.181843016,2.293374199,1.576719711,-0.649449448,-0.106341106,2.648689894,-5.373357457,2202.757875,4.829298521,1.098286074,0.696328897,1.423375206,75.16,112.99,0.000277778,4.6,not_detected,medium,medium
6,18.77,5,4,2,39.15,670.04,425.13,6,-2.086404752,0.20226763,-0.280262307,1.281397859,-1.135089126,-1.601907831,-0.772293079,0.369027408,0.16091517,-8.270087107,-0.505050826,6.461689455,-0.240211164,3.211894251,-0.252541017,102.9,76.08,0.000347222,4.2,not_detected,low,high
6,23.21,13,6,6,1274.9,245.23,899.98,6,0.854753674,0.272167696,-0.280262307,-1.517693678,1.912914891,1.942582793,0.745621916,0.580347629,1.085155945,2.966694275,1.743771953,1.026367852,4.278407068,-0.563395681,4.610592856,59.33,188.14,0.000347222,9.1,cold,high,medium
7,20.54,11,5,5.331109763,913.49,481.69,362.2,7,0.992963319,0.392692516,1.21300825,0.311025551,-1.422852855,-0.480193948,1.049578966,0.307595495,-2.535589484,3.150707552,-1.440896732,-1.519045849,2.945464662,-1.340244498,3.0283739,83.97,157.32,0.000416667,3.4,covid,medium,medium
6,22.33,11,5,5.331109763,981.86,723.47,1070.81,6,1.124391747,2.197709734,-0.512398161,0.132744649,-0.790688927,-0.219552552,-0.401621097,3.986721073,-1.493778487,-1.122180655,-0.807768325,0.619222385,5.197972112,-0.831030618,4.495438296,91.23441303,172.47,0.000347222,10.9,flue,medium,high
3,18.32,8,7,4,502.69,276.35,889.83,3,-0.016194577,-0.335133239,-0.53804424,0.406313657,-0.209075295,-0.495929745,-0.149423166,-0.010175687,0.389524323,-0.007048451,-0.148297867,1.817050839,14.79317226,0.578781025,2.205907651,63.32,216.1068643,0.000138889,9,cold,low,medium
3,21.27,17,6,7,1755.1,63.25,212.93,3,-1.405720887,0.47383985,-0.280262307,3.449675846,-3.20582907,2.841915039,-0.177765274,0.789415797,0.096524846,-6.29291081,-2.762972125,4.959095255,0.571380515,2893.516099,0.393673468,91.23441303,171.36,0.000138889,2.2,not_detected,high,low
6,18.56,9,5,4,664.82,400.0842112,258.12,6,-0.111202429,0.242859607,0.652628555,0.319689467,0.48122292,-0.338774953,-0.54017651,0.412965539,1.755494327,-2.956810918,0.562058978,1.41488956,14.79317226,1.367254379,2.205907651,120.24,69.22,0.000347222,2.6,cmv,low,high
4,16.25,12.74115456,6,5,1011.22,606.77,48.46,4,0.136935207,0.351198745,-0.929720256,0.280891614,8.541812184,-0.448656636,0.020330614,0.580347629,-2.712210034,-1.11436433,-1.499098134,2.673559733,4.212770192,-1.476137136,4.315827317,97.26,54.22,0.000208333,0.4,flue,low,high
6,21.68861899,12,7,5,1067.97,451.65,849.27,6,-0.252015643,-0.553295862,0.829439824,1.430401345,-1.42891545,-1.80106931,-0.847690415,-0.921218742,-0.183535423,0.180203526,-1.250379527,1.020534825,1.243959579,3.211894251,2.205907651,80.42,154.87,0.000347222,8.4,cmv,medium,high
3,19.82,17,5.754798762,7,1792.02,393.34,177.01,3,0.288793159,0.242168607,-1.05972129,0.063003258,-0.010894318,-0.075184954,0.414337207,0.712015816,0.108702379,0.234469793,-0.000369549,-0.233810221,0.33102647,3.211894251,0.031015659,74.77,129.14,0.000138889,5.943938462,cmv,medium,medium
5,18,13,5,6,1206.73,694.26,596.8871092,5,0.72027818,-0.815289927,-0.23167136,-1100.571584,2.397634453,1.489156797,-1.141626373,-0.958488103,2.890890384,3.88917021,2.326644023,-1.066402692,14.79317226,1.018385692,3.685009553,105.79,94.06,0.000277778,5.943938462,covid,low,high
6,21.68861899,14,5.754798762,6,1358.39,765.95,1152.18,6,0.87700625,-0.075288009,-0.622785783,0.149976773,8.541812184,-0.305326744,0.056686324,0.517734568,2.890890384,2.584147401,-1.668558467,0.497664233,5.00822836,-1.954479279,5.519442039,112.06,216.1068643,0.000347222,11.3,flue,medium,high
4,18.5,15,4,6,1522.49,400.0842112,1018.2,4,0.529100199,0.272167696,-2.403729398,1.282590856,-1.174052184,-1.606418047,1.097011254,-0.286383609,0.076002751,2.585559074,-1.008483772,0.219623751,2.071737996,1101.054717,2.280294563,74.44,70.69,0.000208333,10.1,cmv,medium,medium
4.701657459,21.68861899,12,5,5,1208.704198,539.04,734.56,4.701657459,0.811859002,-0.745993351,-2.538379105,0.098406339,-0.157969755,2.841915039,0.619553602,-0.316555332,-0.146517125,3.663673036,-0.148737865,-1.344047539,1.116349586,3.211894251,1.290292394,88.85,54.38,0.00025706,7.3,cmv,low,medium
6,21.81,22,7,9,2587.33,314.21,633.64,6,0.136935207,0.272167696,-0.813733551,-0.64825815,0.664552617,0.817596244,0.637292606,0.580330052,0.121254445,0.576634598,0.584507677,1.69810192,3.853898015,-0.456025058,2.205907651,67.47,158.86,0.000347222,6.4,flue,high,medium
5,21.68861899,13,5,5,1213.69,664.02,598.07,5,-1.619131332,0.198519236,0.826317936,0.147916554,0.296911125,-0.150833591,-0.198270934,0.122232663,0.978875738,-6.190576997,0.338109698,1.443121409,-1.77552027,3.211894251,-2.031204428,102.51,163.95,0.000277778,6,measles,high,high
4.701657459,21.68861899,13,5,6,1241.27,248.1,648.97,4.701657459,0.047950898,0.578427161,-2.508741064,-0.026564364,0.657774891,0.083719337,-0.298130548,1.939993916,1.419916008,-2.162228063,-0.505050826,1.852362695,1.492538382,0.871741013,1.044123441,60.6,83.98,0.00025706,6.6,flue,low,low
7,20.76,10,6,4,864.67,400.0842112,981.96,7,1.539906007,0.570541453,1.960176853,-0.813595237,2.602996519,1.167000269,-0.645167803,0.330508837,4.121731805,4.99852944,2.592983299,-3.492159116,3.363117394,1.925710289,3.818338463,116.06,127.26,0.000416667,9.8,cold,medium,high
6,20.3,11,6,5,1013.32,303.54,966.11,6,-0.94253457,-0.214169694,-0.416710728,4.898023337,-1.3402663,-1.826670755,0.50405538,0.281889393,0.073911756,-3.7855245,-1.152327429,4.996385884,2.668045752,1.243853903,2.859482014,66.24,120.62,0.000347222,9.7,not_detected,medium,medium
4,17.16,13,6,5,1298.82,306.64,778.91,4,0.696776275,0.205641004,0.265795861,4.898023337,1.019966505,2.841915039,-0.850283715,0.404514124,2.356459912,1.962909385,1.077747309,-0.907640677,2.388106925,1.509205369,2.736175517,66.69,53.75,0.000208333,7.7,cmv,low,medium
3,21.58,14,8,6,1368.78,415.58,0,3,0.216223695,-0.08074249,-0.42437845,-0.193897963,8.541812184,0.305939185,0.052541153,0.507174053,1.766106302,0.152971123,0.98511224,2.320137952,4.522748554,0.952189535,4.973397972,77.57,157.81,0.000138889,5.943938462,flue,high,high
7,20.48,12.74115456,6,7,1572.2,513.32,1047.48,7,-1.522666504,0.272167696,-0.961931395,0.147593363,-0.459707751,2.841915039,0.365328051,-0.077617949,-0.719671044,-5.391667506,-0.457252196,6.612584037,2.159700799,-0.331690522,2.205907651,86.66,129.14,0.000416667,10.4,not_detected,medium,medium
4,21.68861899,14,6,6,1442.81,573.65,671.22,4,-0.455768206,0.268492626,0.671628014,-0.98644151,0.506981026,1.203961494,0.705588547,0.206084562,2.890890384,-2.956810918,0.35939549,1.30068597,-0.309446886,-1.406014181,-0.572371946,92.75,104.72,0.000208333,6.7,cmv,medium,high
6,21.68861899,9,4,4,730.24,565.31,55.45,6,551.5538559,-0.388431093,-0.280262307,-0.229826362,1.184788304,0.365453831,0.624840252,0.27848432,2.172973345,1.869462318,1.204942189,0.409856989,2.515265444,1.178728115,2.66115847,92.49,131.57,0.000347222,0.5,cmv,medium,medium
6,18.79,13,5,5,1208.704198,401.53,321.98,6,-0.620652045,0.098404806,-3.071600151,4.898023337,-0.620678229,-1.061241896,0.123711693,1.041743497,0.419984034,-3.349946,-0.501537835,1.583918673,14.79317226,0.96867483,-3.208670219,91.23441303,117.76,0.000347222,3.4,cold,medium,medium
4,21.68861899,20,6,8,2258.41,240.79,341.85,4,0.247314568,1.836308075,-1.350886118,1.015796836,-0.898697314,-1.269784339,-0.45557237,4.031874917,0.130067796,-4.32834186,-0.765976979,4.499311624,6.467716622,3.211894251,5.95725921,59.4,142.25,0.000208333,3.1,flue,high,medium
4,21.75,13,4,5.331109763,1185.31,417.86,217.55,4,0.45731956,1.634732147,0.872858371,1.488235823,-1.28472538,-1.857806505,-0.01978645,2.771011336,0.262255016,-2.085154787,-1.088644322,2.342629519,5.415209179,1.387133128,5.125354995,77.24,173.71,0.000208333,2.2,flue,medium,medium
3,18.89,14,9,6,1208.704198,468.14,729.03,3,0.712861344,1.558234146,0.930715382,-0.096065943,-410.8745688,2.841915039,0.101707436,2.721380709,2.890890384,-1.086530456,-0.448779997,2.228029427,6.615455133,-0.786870363,2.205907651,82.23,216.1068643,0.000138889,7.3,flue,medium,high
4,20.91,12,4,5,1090.55,294.75,1061.98,4,0.136935207,1.089530689,-0.280262307,-0.92880538,0.412075996,1.12841696,0.462101567,2.465520099,-1.038207712,1.162635968,0.269775697,0.961727894,6.410800875,-1.416053199,6.298140958,91.23441303,182.06,0.000208333,10.6,flue,medium,low
6,19.59,17,5,7,1819.15,596.54,693.59,6,0.136935207,-1.062837353,-4.212097997,0.016760326,0.117862574,-0.010383671,0.217939763,0.007390724,0.299906149,-2.956810918,0.126836941,1.443121409,1.883194678,0.202494398,2.143008961,95.28,103.78,0.000347222,6.9,cold,medium,high
1,19.96,11,7,5,1015.19,339.9,596.8871092,1,0.819245587,0.170553974,1.183660363,-0.636853074,1991.752068,0.909839946,1.234723941,0.076885153,3.123612489,-2.956810918,1.981573337,-0.56755296,3.604899954,1.442728068,3.83705443,91.23441303,119.9,0,2.4,cmv,medium,medium
5,18.85,9,6,4,720.65,501.63,596.8871092,5,0.515490809,-0.314029049,0.523940054,-0.228874441,8.541812184,0.363423506,-1.818389996,-0.488208055,2.890890384,2.42159863,1.193132371,-1.111854666,1.806680818,1.164684741,2.205907651,91.23441303,105.18,0.000277778,10.3,covid,low,medium
5,20.11,12.74115456,6,4,502.65,551.14,138.1,5,0.526606084,-0.297079391,-1.578203489,-0.071986142,0.184382041,0.099597374,-0.39426016,0.411679137,0.261622409,1.518535061,-0.505050826,0.865397961,3.500633252,0.10552639,3.934044052,91.23441303,129.48,0.000277778,5.943938462,cold,low,medium
4,21.68861899,12,6,5,1087.49,264.94,1176.74,4,0.849042683,0.096519617,-0.916088278,0.03614405,-0.654568514,-0.094763983,-0.01978645,0.741155058,-1.392475403,2.17517593,-0.68167935,-0.500164817,3.334374282,-0.846606049,3.773826548,62.08,130.6,0.000208333,11.8,cmv,medium,medium
5,20.58,8,7,4,587.3,298.38,1159.11,5,0.408288403,0.305860316,-1.863488165,4.898023337,1.096650612,2.841915039,0.507683221,1.312807186,1.793039837,-0.046735856,1.097137846,1.06156901,2.469237371,0.86885893,2.235424348,65.77,159.47,0.000277778,11.5,covid,medium,medium
4,17.89,7,5,3,410.08,250.6,0,4,-1.001515045,0.639283143,1.807422864,-1.185263138,2.571616198,1.602912943,-0.152774811,0.700499862,3.265840989,-4.788694428,2.494624904,3.782365218,14.79317226,1.081894336,1.197247658,60.9,117.01,0.000208333,2.2,measles,low,low
7,16.58,16,7,7,1674.54,400.0842112,923.72,7,0.136935207,0.162306055,1.95679334,-0.717815948,1.62703206,0.976296125,0.354707052,0.004438849,2.134070736,-0.242049979,1.583964315,1.946193722,3.794299061,0.753523882,4.255709536,56.06,61.03,0.000416667,9.4,flue,low,medium
6,21.39,13,5,5,1220.81,557.61,330.49,6,-1.501737171,-0.055755957,-2.047145354,1.465673551,-1.172646767,-1.822266682,-0.24306928,0.812662112,2.890890384,-6.399501798,-0.974803627,5.103448157,-0.852900147,1.496872054,-1.208462228,91.01,140.23,0.000347222,3.2,cold,medium,high
6,20.89,13,5,5,1218.06,378.68,596.8871092,6,0.968941097,1.44680731,-1.072062168,1.645910612,-1.541924688,-2.064279533,-0.304313879,3.13371516,2.890890384,-0.509882281,-0.505050826,1.527804943,5.958443121,1.363103502,5.679278348,73.47,161.85,0.000347222,8.5,flue,medium,medium
6,20.23,15,4,6,1570.33,203.94,596.8871092,6,0.667931319,0.272167696,-2.491553497,224.9928414,-1.301763384,-0.369068093,0.911329453,0.426368756,-2.445682157,2.153810901,-0.505050826,0.188518258,2.46726707,-1.354313252,2.495957051,56.47,116.44,0.000347222,4.2,cmv,medium,low
6,20.09,12.74115456,2,4,1208.704198,409.87,596.8871092,6,-1.087979414,-1.051752656,-2.089404839,0.482981126,0.138519704,-0.558682974,0.131501493,-0.376046506,1.331559515,-2.956810918,0.230555009,5.752154382,14.79317226,1.234562014,3.36573352,76.99,137.85,0.000347222,4.3,not_detected,medium,low
6,21.23,12.74115456,5.754798762,5,1138.11,766.6,293.55,6,0.136935207,-0.825666419,-1.176779998,1.781548866,-1.434828268,-2.215746556,0.833480082,-0.608618741,0.545301827,2.981082474,-1.194830462,0.503469648,3.376023432,1.806114925,3.937812406,112.18,148.89,0.000347222,5.943938462,cmv,medium,high
6,20.19,11,4,5,991.91,381.68,282.68,6,0.650005949,0.418359037,-1.406991664,0.32240739,-1.388442373,-0.490879312,0.55377637,1.16340945,-2.434317789,0.999264115,-1.40272485,1.443121409,1.453144269,-1.267167662,2.205907651,74.26,153.72,0.000347222,2.7,cmv,medium,low
5,19.83,15,7,6,1551.92,451.43,188.4,5,0.563679642,1.866419834,0.045324339,0.358540747,-1.822026988,-568.0317366,0.175195355,3.140730664,2.890890384,-2.091482437,-1852.123203,1.002942211,3.27349556,-1.801731844,2.205907651,80.54,216.1068643,0.000277778,2,cold,medium,high
4,18,10,5,4,784.23,536.75,73.94,4,0.582956202,-1.073266459,-2.564265161,-1.372387916,1.096076798,1.706130917,-0.032165041,-0.437879155,-0.440755335,2.955856868,0.910726852,0.9250417,14.79317226,-1.404332685,4.51167742,89.24,113.77,0.000208333,0.7,cmv,low,medium
6,18.64,18,5,8,1972.93,320.07,438.62,6,-1.106511393,0.237698867,-0.280262307,4.898023337,0.984475178,1.328196225,1.063670374,0.599138513,-0.029994553,-4.907328969,0.84844927,5.567845993,2.944186973,-0.888926394,2.936088375,67.98,124.4,0.000347222,4.3,not_detected,medium,medium
6,17.93,10,6,4,855.75,899.84,1127.29,6,0.136935207,-0.139416731,-0.894171636,0.121298022,-0.637743702,-0.193869937,-0.092230644,0.453993619,-1.17475817,2.749758725,-0.649016336,0.151547867,4.484797589,-0.639670374,4.975986139,125.26,78.91,0.000347222,11.3,flue,low,high
4,21.68861899,14,4,5.331109763,1433.96,182.03,983.86,4,0.136935207,1.122573963,2.963080093,0.034550432,-0.354811924,-0.069011857,-0.026434776,0.580347629,-0.723185165,4.523955645,-0.366876413,-3.701972934,3.41408516,-0.426729511,2.205907651,53.52,109.39,0.000208333,9.8,cold,medium,low
5,19.35,14,5,6,1418.87,408.89,213.04,5,0.301450557,1.114665281,3.102784244,0.136330693,-1.227911734,-0.258602581,0.192626116,0.675755551,-2.467334176,-0.081577783,-1.266715719,-1.076648012,14.79317226,3.211894251,0.56896445,91.23441303,134.81,0.000277778,2.2,cold,medium,medium
4.701657459,20.21,12.74115456,5,2,182.19,25.19,526.62,4.701657459,0.136935207,1.462755917,0.813588569,-0.425253508,1.314262663,0.606286865,0.026850178,2.057046113,2.050505232,-2.673735631,1.30666245,0.676716049,0.725539349,0.941179725,0.030895716,91.23441303,173.25,0.00025706,5.3,covid,low,low
3,20.77,15,7,7,1592.96,318.57,827.9,3,-0.366631335,0.272167696,0.585785025,0.312065029,0.361254686,-0.339335479,0.389901966,-1.856805522,1.470170584,1.062543653,0.434615647,1.333926849,1.144880444,1.181438831,1.943380744,67.54,140.26,0.000138889,8.2,covid,medium,medium
7,19.54,12,7,5,1073.35,511.82,596.8871092,7,-1.097302758,0.132383666,-0.769538596,2.634419955,-2.426951874,-3.300787433,0.372494312,0.691966035,0.121396787,-4.859797602,-2.087668063,4.193656615,0.25070513,2.239703752,-0.034054696,85.63,216.1068643,0.000416667,10.1,cold,medium,high
7,18.65,11,7,5,1000.7,582.53,1092.97,7,1.048512927,1.921101013,-0.280262307,0.801983803,-0.604098291,-0.994113321,0.052358423,3.727060437,0.339285591,-974.3571551,-0.505050826,0.68352264,14.79317226,0.872078479,3.853573831,94.21,216.1068643,0.000416667,5.943938462,flue,low,high
2,20.55,12.74115456,7,4,957.17,252.75,1032.81,2,0.136935207,0.490303139,2.860727711,0.387332682,-0.704421165,-0.51298905,-0.106152452,0.124767107,-0.762152893,-2.706208267,-0.672309544,2.595840416,2.063009679,-0.161557486,2.205907651,60.77,160.67,6.94E-05,10.5,measles,medium,medium
4,21.68861899,9,5,4,651.81,400.0842112,634.77,4,-0.140930658,0.272167696,-0.244224221,-2.05535881,0.894445049,2.495691504,-1.297565587,0.076735961,-2.336592177,-0.642837395,0.578656163,1.000573397,1.052378694,-3.158220864,1.432696689,91.23441303,117.88,0.000208333,6.4,cmv,low,low
